id,teff,logg,feh,vt
achi131125.1120_cnorm,5310,4.52,-0.52,2.4
achi150118.1126_cnorm,5310,4.52,-0.52,2.4
achi150725.1150_cnorm,5310,4.52,-0.52,2.4
achi140925.1133_cnorm,5310,4.52,-0.52,2.4
achi131104.1121_cnorm,5310,4.52,-0.52,2.4
achi141130.1123_cnorm,5310,4.52,-0.52,2.4
achi140111.1120_cnorm,5310,4.52,-0.52,2.4
achi140804.1151_cnorm,5310,4.52,-0.52,2.4
achi141211.1130_cnorm,5310,4.52,-0.52,2.4
achi140914.1136_cnorm,5310,4.52,-0.52,2.4
achi141022.1126_cnorm,5310,4.52,-0.52,2.4
