wavelength,species,ep,gf,achi131125.1120_cnorm,achi150118.1126_cnorm,achi150725.1150_cnorm,achi140925.1133_cnorm,achi131104.1121_cnorm,achi141130.1123_cnorm,achi140111.1120_cnorm,achi140804.1151_cnorm,achi141211.1130_cnorm,achi140914.1136_cnorm,achi141022.1126_cnorm
6270.225,26.0,2.858,-2.54,41.846,43.46,44.658,44.114,47.209,44.845,45.677,42.298,44.825,41.952,42.13
6271.279,26.0,3.332,-2.703,16.371,18.759,16.609,12.231,18.449,16.452,17.959,19.596,17.233,15.81,16.931
6380.743,26.0,4.186,-1.376,36.488,42.425,41.513,41.586,40.261,41.801,36.608,40.793,38.208,40.622,36.75
6392.539,26.0,2.279,-4.03,13.752,9.921,12.957,12.767,8.517,16.07,12.099,13.273,13.058,13.093,12.637
6430.846,26.0,2.1759,-2.006,118.799,116.371,111.539,114.116,117.101,111.246,114.544,114.244,115.084,115.823,115.932
6498.939,26.0,0.9581,-4.699,43.821,46.15,42.888,41.536,46.606,43.076,44.47,44.641,45.063,41.801,43.696
6593.871,26.0,2.4326,-2.422,80.587,77.205,78.345,77.85,75.646,80.055,80.074,81.698,77.542,81.336,80.561
6597.561,26.0,4.795,-0.98,32.825,30.001,30.468,26.061,29.687,27.229,32.023,30.269,32.572,29.779,34.579
6625.022,26.0,1.011,-5.336,12.434,16.727,16.727,11.654,15.885,14.755,14.659,14.659,18.433,13.71,17.968
6677.987,26.0,2.692,-1.418,132.902,131.187,131.616,133.854,130.466,136.213,135.758,136.521,137.272,133.011,132.891
6703.567,26.0,2.7585,-3.023,26.468,28.575,28.575,34.562,30.055,31.706,26.612,26.612,28.383,28.383,28.199
6705.102,26.0,4.607,-0.98,31.917,36.613,32.834,32.467,32.026,35.403,31.713,33.071,36.845,33.393,32.508
6710.319,26.0,1.485,-4.88,nan,11.214,13.119,11.671,12.171,14.009,9.086,9.086,14.999,12.94,12.094
6713.745,26.0,4.795,-1.4,15.636,11.046,9.642,11.141,12.099,12.099,9.942,10.693,10.693,11.72,9.483
